variant,canonical,category
collaborative working,collaboration,Collaboration & Teamwork
comfortable with ambiguity,adaptability,Learning & Adaptability
Commercial awareness,commercial awareness,Learning & Adaptability
commercial awareness,commercial awareness,Learning & Adaptability
commercial mindset,commercial awareness,Learning & Adaptability
commercial thinking,commercial awareness,Learning & Adaptability
communication,communication,Communication
Communication,communication,Communication
communication skills,communication,Communication
Confidentiality,emotional intelligence,Work Ethic & Ownership
continuous learning,eagerness to learn,Learning & Adaptability
Continuous learning,eagerness to learn,Learning & Adaptability
critical analysis,critical thinking,Analytical & Critical Thinking
critical thinking,critical thinking,Analytical & Critical Thinking
Critical thinking,critical thinking,Analytical & Critical Thinking
cross-functional collaboration,cross-functional collaboration,Collaboration & Teamwork
Cross-functional collaboration,cross-functional collaboration,Collaboration & Teamwork
curiosity,curiosity,Learning & Adaptability
Curiosity,curiosity,Learning & Adaptability
customer focus,customer focus,Process & Domain
Customer focus,customer focus,Process & Domain
customer-first mindset,customer focus,Process & Domain
data accuracy,attention to detail,Work Ethic & Ownership
data analysis,REMOVE — technical,REMOVE
Data governance,REMOVE — technical,REMOVE
Data governance mindset,REMOVE — technical,REMOVE
data governance,REMOVE — technical,REMOVE
data integrity,REMOVE — technical,REMOVE
data interpretation,data-driven mindset,Process & Domain
data literacy,data-driven mindset,Process & Domain
data mindedness,data-driven mindset,Process & Domain
data quality assurance,REMOVE — technical,REMOVE
data storytelling,storytelling,Communication
Data storytelling,storytelling,Communication
data visualization,REMOVE — technical,REMOVE
Data visualization,REMOVE — technical,REMOVE
data-driven decision-making,data-driven mindset,Process & Domain
data-driven mindset,data-driven mindset,Process & Domain
decision-making,strategic thinking,Analytical & Critical Thinking
Decision-making,strategic thinking,Analytical & Critical Thinking
detail-oriented,attention to detail,Work Ethic & Ownership
Detail-oriented,attention to detail,Work Ethic & Ownership
discretion,emotional intelligence,Work Ethic & Ownership
documentation,documentation,Communication
Documentation,documentation,Communication
documentation skills,documentation,Communication
domain expertise,subject matter expertise,Learning & Adaptability
Domain expertise,subject matter expertise,Learning & Adaptability
domain understanding,subject matter expertise,Learning & Adaptability
Domain understanding,subject matter expertise,Learning & Adaptability
drive,proactivity,Work Ethic & Ownership
eager to learn,eagerness to learn,Learning & Adaptability
eagerness to learn,eagerness to learn,Learning & Adaptability
editing,documentation,Communication
emotional intelligence,emotional intelligence,Work Ethic & Ownership
Ethical judgment,emotional intelligence,Work Ethic & Ownership
evidence-based decision-making,strategic thinking,Analytical & Critical Thinking
Evidence-based decision-making,strategic thinking,Analytical & Critical Thinking
executive communication,written communication,Communication
fast learner,eagerness to learn,Learning & Adaptability
fast learning,eagerness to learn,Learning & Adaptability
flexibility,adaptability,Learning & Adaptability
growth mindset,eagerness to learn,Learning & Adaptability
honesty,emotional intelligence,Work Ethic & Ownership
independence,independent work,Work Ethic & Ownership
Independence,independent work,Work Ethic & Ownership
independent work,independent work,Work Ethic & Ownership
Independent work,independent work,Work Ethic & Ownership
influence,influence,Stakeholder & Relationship Management
Influence,influence,Stakeholder & Relationship Management
influencing,influence,Stakeholder & Relationship Management
Influencing,influence,Stakeholder & Relationship Management
initiative,proactivity,Work Ethic & Ownership
Initiative,proactivity,Work Ethic & Ownership
interpersonal skills,relationship building,Stakeholder & Relationship Management
knowledge sharing,knowledge sharing,Collaboration & Teamwork
Knowledge sharing,knowledge sharing,Collaboration & Teamwork
leadership,leadership,Leadership & Mentoring
Leadership,leadership,Leadership & Mentoring
learning ability,eagerness to learn,Learning & Adaptability
learning and development,eagerness to learn,Learning & Adaptability
Learning mindset,eagerness to learn,Learning & Adaptability
learning mindset,eagerness to learn,Learning & Adaptability
logical reasoning,critical thinking,Analytical & Critical Thinking
Logical reasoning,critical thinking,Analytical & Critical Thinking
logical thinking,critical thinking,Analytical & Critical Thinking
managing competing priorities,time management,Self-Management
Master Data Management,REMOVE — technical,REMOVE
meeting deadlines,time management,Self-Management
mental agility,adaptability,Learning & Adaptability
mentoring,mentoring,Leadership & Mentoring
Mentoring,mentoring,Leadership & Mentoring
mentorship,mentoring,Leadership & Mentoring
Mentorship,mentoring,Leadership & Mentoring
multitasking,time management,Self-Management
numeracy,REMOVE — technical,REMOVE
oral communication,written communication,Communication
organisation,organizational skills,Self-Management
organisational skills,organizational skills,Self-Management
Organisational skills,organizational skills,Self-Management
organization,organizational skills,Self-Management
Organization,organizational skills,Self-Management
organizational skills,organizational skills,Self-Management
Organizational skills,organizational skills,Self-Management
organized,organizational skills,Self-Management
Organized,organizational skills,Self-Management
ownership,ownership,Work Ethic & Ownership
Ownership,ownership,Work Ethic & Ownership
ownership mentality,ownership,Work Ethic & Ownership
persuasion,influence,Stakeholder & Relationship Management
Persuasion,influence,Stakeholder & Relationship Management
platform ownership mindset,ownership,Work Ethic & Ownership
presentation,presentation skills,Communication
Presentation skills,presentation skills,Communication
presentation skills,presentation skills,Communication
presenting,presentation skills,Communication
presenting complex information,presentation skills,Communication
priority management,time management,Self-Management
prioritization,prioritization,Self-Management
Prioritization,prioritization,Self-Management
proactive,proactivity,Work Ethic & Ownership
proactive approach,proactivity,Work Ethic & Ownership
proactive mindset,proactivity,Work Ethic & Ownership
Proactive mindset,proactivity,Work Ethic & Ownership
proactivity,proactivity,Work Ethic & Ownership
Proactivity,proactivity,Work Ethic & Ownership
problem-solving,problem-solving,Analytical & Critical Thinking
Problem-solving,problem-solving,Analytical & Critical Thinking
process improvement,process improvement,Process & Domain
Process improvement,process improvement,Process & Domain
professional approach,ownership,Work Ethic & Ownership
project coordination,project management,Self-Management
project leadership,project management,Self-Management
project management,project management,Self-Management
Project management,project management,Self-Management
quality assurance,REMOVE — technical,REMOVE
Quality assurance,REMOVE — technical,REMOVE
quick learning,eagerness to learn,Learning & Adaptability
reasoning ability,critical thinking,Analytical & Critical Thinking
relationship building,relationship building,Stakeholder & Relationship Management
Relationship building,relationship building,Stakeholder & Relationship Management
reliability,ownership,Work Ethic & Ownership
requirements gathering,requirements gathering,Process & Domain
Requirements gathering,requirements gathering,Process & Domain
research,research skills,Analytical & Critical Thinking
research skills,research skills,Analytical & Critical Thinking
Research skills,research skills,Analytical & Critical Thinking
resilience,adaptability,Learning & Adaptability
Resilience,adaptability,Learning & Adaptability
resilience under pressure,adaptability,Learning & Adaptability
resource management,time management,Self-Management
resourcefulness,adaptability,Learning & Adaptability
results-oriented,proactivity,Work Ethic & Ownership
root cause analysis,process improvement,Process & Domain
Scalable solution design,REMOVE — technical,REMOVE
scope negotiation,requirements gathering,Process & Domain
self-directed,independent work,Work Ethic & Ownership
self-motivation,independent work,Work Ethic & Ownership
Self-motivation,independent work,Work Ethic & Ownership
self-motivated,independent work,Work Ethic & Ownership
Self-motivated,independent work,Work Ethic & Ownership
self-starter,proactivity,Work Ethic & Ownership
Self-starter mindset,proactivity,Work Ethic & Ownership
sense of responsibility,ownership,Work Ethic & Ownership
solution-focused,problem-solving,Analytical & Critical Thinking
stakeholder collaboration,stakeholder engagement,Stakeholder & Relationship Management
Stakeholder collaboration,stakeholder engagement,Stakeholder & Relationship Management
stakeholder communication,stakeholder engagement,Stakeholder & Relationship Management
Stakeholder communication,stakeholder engagement,Stakeholder & Relationship Management
stakeholder engagement,stakeholder engagement,Stakeholder & Relationship Management
Stakeholder engagement,stakeholder engagement,Stakeholder & Relationship Management
stakeholder leadership,leadership,Leadership & Mentoring
stakeholder management,stakeholder management,Stakeholder & Relationship Management
Stakeholder management,stakeholder management,Stakeholder & Relationship Management
stakeholder storytelling,storytelling,Communication
Statistical analysis,REMOVE — technical,REMOVE
storytelling,storytelling,Communication
Storytelling,storytelling,Communication
strategic decision-making support,strategic thinking,Analytical & Critical Thinking
strategic thinking,strategic thinking,Analytical & Critical Thinking
Strategic thinking,strategic thinking,Analytical & Critical Thinking
subject matter expertise,subject matter expertise,Learning & Adaptability
Subject matter expertise,subject matter expertise,Learning & Adaptability
team collaboration,collaboration,Collaboration & Teamwork
team management,team management,Leadership & Mentoring
team player,teamwork,Collaboration & Teamwork
team spirit,teamwork,Collaboration & Teamwork
team working,teamwork,Collaboration & Teamwork
team-oriented mindset,teamwork,Collaboration & Teamwork
Team-oriented mindset,teamwork,Collaboration & Teamwork
teamwork,teamwork,Collaboration & Teamwork
Teamwork,teamwork,Collaboration & Teamwork
tenacity,adaptability,Learning & Adaptability
time management,time management,Self-Management
Time management,time management,Self-Management
training and mentoring,mentoring,Leadership & Mentoring
training and user adoption,mentoring,Leadership & Mentoring
transparency,emotional intelligence,Work Ethic & Ownership
troubleshooting,process improvement,Process & Domain
user engagement,client management,Stakeholder & Relationship Management
verbal communication,written communication,Communication
visual storytelling,storytelling,Communication
Visual storytelling,storytelling,Communication
willingness to learn,eagerness to learn,Learning & Adaptability
working under pressure,adaptability,Learning & Adaptability
workload management,time management,Self-Management
workshop facilitation,collaboration,Collaboration & Teamwork
writing,documentation,Communication
Writing,documentation,Communication
writing clarity,documentation,Communication
Writing clarity,documentation,Communication
written communication,written communication,Communication
